iter	Logloss
0	0.5601148455
1	0.4602864775
2	0.3714293761
3	0.3038773251
4	0.2509856773
5	0.2029723537
6	0.1702472719
7	0.1417611631
8	0.1200825585
9	0.1013218203
10	0.09024618564
11	0.08020539262
12	0.06956074025
13	0.06131317635
14	0.05374224346
15	0.04578016362
16	0.03925602247
17	0.03476394709
18	0.03196103175
19	0.02874466977
20	0.02611372819
21	0.02387284309
22	0.02186030832
23	0.0199936068
24	0.01839716812
25	0.0171780792
26	0.01584760068
27	0.01469408429
28	0.01372237064
29	0.01273233272
30	0.01181973051
31	0.01107289027
32	0.01039211545
33	0.009897850956
34	0.009391398552
35	0.008959592752
36	0.008603109777
37	0.008241068711
38	0.007824132152
39	0.007471381739
40	0.007166587525
41	0.006807648013
42	0.006345174732
43	0.005924295579
44	0.005715586223
45	0.005553895427
46	0.005354666067
47	0.00516383023
48	0.005032387258
49	0.004904718103
50	0.004754674851
51	0.00463816594
52	0.004515297079
53	0.004356266944
54	0.004262890826
55	0.004148156156
56	0.004054407408
57	0.003967454013
58	0.003836966598
59	0.003672778131
60	0.003622550772
61	0.003525137472
62	0.003433741489
63	0.003408238686
64	0.003326280905
65	0.003248982491
66	0.003206294456
67	0.003153781113
68	0.003080083807
69	0.002988496735
70	0.002915075116
71	0.002830991556
72	0.00276265647
73	0.002717516903
74	0.002678448056
75	0.00265750781
76	0.002613048073
77	0.002580969065
78	0.002541236365
79	0.002470171788
80	0.002446484524
81	0.002405973925
82	0.002366371173
83	0.002332293868
84	0.002300834291
85	0.002287247379
86	0.002270269688
87	0.002227253753
88	0.002189539921
89	0.002163192141
90	0.002150353258
91	0.002135930888
92	0.002117073236
93	0.002095522275
94	0.002063880831
95	0.002023543277
96	0.001993889038
97	0.00197584083
98	0.001947870384
99	0.001914399424
100	0.001892664336
101	0.001864065438
102	0.001837169124
103	0.001794892852
104	0.001770438649
105	0.001743554015
106	0.001711447864
107	0.001688295524
108	0.001681863822
109	0.001664905315
110	0.001643560729
111	0.001625144562
112	0.001602675765
113	0.001585292104
114	0.001562422481
115	0.001551553099
116	0.001531141549
117	0.001512270075
118	0.001495501288
119	0.001477005277
120	0.001455234032
121	0.00144072627
122	0.001424560915
123	0.001413313285
124	0.001393039466
125	0.001373012475
126	0.001361306237
127	0.0013487044
128	0.001336736296
129	0.001323033958
130	0.001310721174
131	0.001288612321
132	0.001276971356
133	0.001265416614
134	0.00125767994
135	0.001238012886
136	0.001224877691
137	0.001211571617
138	0.001200901018
139	0.001187999142
140	0.001177084906
141	0.001165458168
142	0.001157209798
143	0.001140321683
144	0.001131187178
145	0.001125392674
146	0.001125365756
147	0.001118824471
148	0.001109864935
149	0.001101518893
150	0.00109120998
151	0.001080649777
152	0.0010704962
153	0.001065306388
154	0.001055950507
155	0.001047996284
156	0.00104278197
157	0.001040512355
158	0.00103183365
159	0.001024508646
160	0.001015694076
161	0.001009700052
162	0.00100968412
163	0.001001511848
164	0.001001511848
165	0.0009913671607
166	0.0009848908739
167	0.000976219485
168	0.0009699613282
169	0.0009638360085
170	0.0009561538644
171	0.0009534763873
172	0.0009474389638
173	0.0009401804691
174	0.0009399762101
175	0.0009348678469
176	0.0009292148008
177	0.0009217000717
178	0.0009216846898
179	0.0009179922483
180	0.0009179977418
181	0.000917963682
182	0.0009129965327
