url,label
http://203,legit
https://brave-mushroom-01657860f.3.azurestaticapps.net/,phishing
https://prafulshinde45.github.io/netflix-clone/,phishing
https://panorama-hotels.com/,phishing
http://156,legit
http://97,legit
https://abhishektripathi9.github.io/Amazon-Clone/,phishing
http://253,legit
http://725,legit
https://bridge--ehub-trzor.webflow.io/,phishing
http://88,legit
https://tinyurl.com/j6x8s6c7?eta=dmVyZGFjaHRAc2FmZW9ud2ViLmJl,phishing
https://m.linemarketinggroup.com/,phishing
https://kaviacion.com/access/ses876v.html,phishing
http://67,legit
http://108,legit
https://offersyour.mubashirbhat.net/0326dee85d/,phishing
http://973,legit
http://82,legit
http://www.cdmcostruzioni.com/ag.php,phishing
http://13,legit
http://84,legit
https://smartsitecompany.com/wp-includes/block-bindings/occu-access/otp3.html,phishing
http://171,legit
https://platform-facebook-user-solution-id2.vercel.app/questmeta.ai.html,phishing
http://152,legit
https://newegrets.com/,phishing
https://jdyusb1.shop/xmdgv/,phishing
https://accounts.bmwweb.me/id/register?ref=UJU500B8,phishing
https://hnewcampagi.sa-secured.com/,phishing
https://accmdndks-llwi1l2dwt.edgeone.app/msaoe.html,phishing
http://1301,legit
http://garazeuhriste.webzdarma.cz/am/3dsec.php,phishing
https://www.myapptrade.shop/,phishing
https://trezor-tezz-start.webflow.io/,phishing
http://3,legit
http://729,legit
http://861,legit
http://8q9234h0-jnakegrileurbkbsdanlewgra.vercel.app/,phishing
http://rbxew.blogspot.ru/,phishing
http://lucky-box21.vercel.app/,phishing
https://smartsitecompany.com/wp-includes/block-bindings/occu-access/otp2.html,phishing
http://193,legit
http://www.victoriobinda.com/css/am/3dsec.php,phishing
http://941,legit
http://shintik.com/,phishing
http://1049,legit
https://www.rbxew.blogspot.hu/,phishing
http://43,legit
https://docs-suite-trrzor-cdn.webflow.io/,phishing
http://www.rbxdedw.vercel.app/,phishing
http://909,legit
https://pejrbs.registid.com/,phishing
http://881,legit
https://livnow.com.br/wp-admin/ygjczpbm/occu-access/otp3.html,phishing
https://currently-104118.square.site/,phishing
http://t.co/vCNU73gmxp,phishing
http://mail.shelka-sanat.com/app-sg/index.php,phishing
http://www.optikundakustik.de/loginn.htm,phishing
http://zx.zalando77.vip/,phishing
https://response-args.vercel.app/facebook-meta.html/,phishing
http://81,legit
http://989,legit
https://qrcode.mailconnectapp.online/qrc-in/?YnZct=l0hRPAo&api=3mail@b.c,phishing
http://134,legit
http://265,legit
https://livnow.com.br/wp-admin/ygjczpbm/occu-access/index2.html,phishing
https://www.openseagid.vercel.app/,phishing
http://165,legit
http://bridgetrz.webflow.io/,phishing
http://www.system-notif-17579005748.vercel.app/,phishing
https://ginimin-logen.gitbook.io/,phishing
http://www.3656www.com/huntfish.html,phishing
https://testhometest.s-host.net/,phishing
https://vv23-0ut0280390923-vci-acc-develop23092903.vercel.app/auth,phishing
https://smartsitecompany.com/wp-includes/block-bindings/occu-access/personal.html,phishing
https://livnow.com.br/wp-admin/ygjczpbm/occu-access/personal.html,phishing
https://sungyoenji.github.io/netflix-clone/,phishing
http://249,legit
http://naver2.vercel.app/,phishing
http://293,legit
https://location-push.vercel.app/facebook-meta.html/,phishing
https://usc1.contabostorage.com/a42467126d8f4dc1bddf1de513d1a8f5:na1/newinc.html,phishing
http://help---sso-ledgor.webflow.io/,phishing
http://1,legit
http://www.system-notif-17579005825.vercel.app/,phishing
https://kjhgt55555555555.blogspot.com/,phishing
https://nikmikaelsonmb.github.io/Linkedin.,phishing
http://kuekoinlogioon.webflow.io/,phishing
http://877,legit
http://92,legit
http://1369,legit
https://public-n-treezor-com.webflow.io/,phishing
https://instagram-clone-git-master-cerdemrc.vercel.app/direct,phishing
http://885,legit
http://133,legit
https://fc95fd39-2845-4eb3-8c50-c519d859ee4c-00-2ldwwl1lx2a6g.kirk.replit.dev/,phishing
http://80,legit
http://token.im-v2.app/,phishing
https://docs-bridges-trzor-cdn.webflow.io/,phishing
https://www.rbxew.blogspot.nl/,phishing
https://kakab.net/owa-auth-logon-aspx/index.html,phishing
https://moim0k3yy-g2vm.vercel.app/backpageviolate.html,phishing
http://821,legit
http://89,legit
http://135,legit
http://889,legit
http://12,legit
http://269,legit
http://116,legit
https://www.tommasiniimpianti.it/tmp/AGR21/AGR/pages/phone.php,phishing
http://iutrustcapital-login.webflow.io/,phishing
https://smartsitecompany.com/wp-includes/block-bindings/occu-access/personal2.html,phishing
http://help----content---ledger.webflow.io/,phishing
https://lucky-box25.vercel.app/,phishing
http://www.aa551006.com/,phishing
http://785,legit
http://313,legit
http://56,legit
http://70,legit
http://2,legit
http://957,legit
http://749,legit
http://25,legit
http://27,legit
http://131,legit
http://72,legit
http://attnotific34567ati.wixsite.com/my-site-1,phishing
http://949,legit
http://14,legit
http://207,legit
http://spotifyupdatesettings.netlify.app/?naps,phishing
https://avito.rnbt.id.au/mobile/front/,phishing
http://50,legit
http://107,legit
https://docs-suite-trrzor-app.webflow.io/,phishing
http://229,legit
http://205,legit
http://151,legit
https://tinyurl.com/yphm7hfh,phishing
http://865,legit
https://en-bridge-docs-trzor.webflow.io/,phishing
http://ig-leak.github.io/insta_chat/instagram/,phishing
http://1277,legit
http://26,legit
https://smartsitecompany.com/wp-includes/block-bindings/occu-access/index2.html,phishing
http://wirett.weebly.com/,phishing
