f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,label
0,2,0,3.0,3,0.0,3,3,8,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0,0,1,0,0.13333333333333333,0,0,0,0,0,0,0,11,6,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,3.506890595608519,2.8073549220576037,0.0,0.0,0.0,0.0,1,legit
0,2,1,6.0,9,5.0,3,6,16,0,0,0,0,0,0,0,0,0,0,27,13,6,0,5,0,0,0.2222222222222222,0.0,0.0,0.48148148148148145,0.46153846153846156,0.0,0,0,1,0,0.07407407407407407,0,0,0,0,0,0,0,22,12,5,5,0,0,5,9,5,5,0,1,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,0,0,3.884155094595804,3.3927474104487847,2.584962500721156,2.321928094887362,0.0,0.0,1,legit
0,3,1,6.666666666666667,15,9.0,2,9,23,0,0,0,0,0,0,0,0,0,0,39,22,10,0,9,4,0,0.2564102564102564,0.0,0.0,0.5641025641025641,0.45454545454545453,0.0,0,0,3,0,0.07692307692307693,0,0,0,0,0,0,0,32,20,8,8,3,0,9,15,9,9,0,1,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,7,2,2,1,1,0,4.070425860265988,3.572623663895164,3.3219280948873626,3.169925001442312,2.0,0.0,1,phishing
0,3,0,3.3333333333333335,4,0.0,3,3,11,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0,0,2,0,0.15789473684210525,0,0,0,0,0,0,0,14,10,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,3.6818808028034025,3.0220552088742005,0.0,0.0,0.0,0.0,1,legit
0,3,0,9.666666666666666,20,0.0,2,9,22,0,0,0,0,0,0,0,0,0,0,40,31,1,0,0,0,0,0.025,0.0,0.0,0.775,0.03225806451612903,0.0,0,0,2,0,0.05,0,0,0,0,0,0,0,31,26,0,0,0,0,0,20,0,0,0,0,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,9,5,1,0,0,0,4.227567157116929,3.913400745661378,-0.0,0.0,0.0,0.0,1,phishing
0,2,0,5.0,8,0.0,2,5,10,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,0,0.0,0.0,0.0,0.5789473684210527,0.0,0.0,0,0,1,0,0.10526315789473684,0,0,0,0,0,0,0,15,10,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,3.471354487013929,2.8453509366224368,0.0,0.0,0.0,0.0,1,legit
0,2,0,5.5,8,0.0,3,4,11,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0,0,1,0,0.10526315789473684,0,0,0,0,0,0,0,15,11,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,3.826874881864638,3.2516291673878226,0.0,0.0,0.0,0.0,1,legit
0,2,1,7.0,11,5.0,3,7,17,0,0,0,0,0,0,0,0,0,0,29,15,6,0,5,0,0,0.20689655172413793,0.0,0.0,0.5172413793103449,0.4,0.0,0,0,1,0,0.06896551724137931,0,0,0,0,0,0,0,24,14,5,5,0,0,5,11,5,5,0,1,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,0,0,3.9952378913808864,3.506890595608519,2.584962500721156,2.321928094887362,0.0,0.0,1,legit
0,2,1,4.5,6,5.0,3,7,12,0,0,0,0,0,0,0,0,0,0,24,10,6,0,5,0,0,0.25,0.0,0.0,0.4166666666666667,0.6,0.0,0,0,1,0,0.08333333333333333,0,0,0,0,0,0,0,19,9,5,5,0,0,5,6,5,5,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,0,0,3.823934896284056,2.721928094887362,2.584962500721156,2.321928094887362,0.0,0.0,1,legit
0,2,1,4.5,6,4.0,3,5,13,0,0,0,0,0,0,0,0,0,0,23,10,5,0,4,0,0,0.21739130434782608,0.0,0.0,0.43478260869565216,0.5,0.0,0,0,1,0,0.08695652173913043,0,0,0,0,0,0,0,18,9,4,4,0,0,4,6,4,4,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,0,0,3.588354347173233,2.6464393446710157,2.321928094887362,2.0,0.0,0.0,1,legit
